"CB","Excellent","Good","Fair","Poor","Raised","Stump","Shaft","Dead","Critical","Aggregate","TotalNumTrees","Score","Final"
595,122,100,0,5,0,2,0,6,0,798,233,3.4248927039,1
502,9598,9819,0,809,0,96,5,197,0,69467,20423,3.4014101748,0.9931435723
128,2,3,0,0,0,0,0,0,0,17,5,3.4,0.9927318296
503,17462,19699,0,1675,0,114,4,618,0,132295,39454,3.3531454352,0.9790512361
480,41,24,0,10,0,1,0,2,0,256,77,3.3246753247,0.9707385346
210,3098,5101,0,455,0,80,0,169,0,28605,8823,3.2420945257,0.9466265971
110,4148,4634,54,691,0,101,2,332,0,31930,9859,3.238665179,0.9456252966
202,2094,3603,0,333,1,39,0,122,0,19851,6152,3.2267555267,0.9421479169
206,2069,4038,0,561,1,64,0,94,0,21512,6762,3.1813073055,0.9288779476
108,4520,7557,45,1056,0,90,1,335,0,42908,13513,3.1753126619,0.9271276318
127,42,109,0,11,0,0,0,3,0,517,165,3.1333333333,0.9148705096
102,1208,2578,1,397,0,35,1,104,0,13361,4288,3.1159048507,0.9097817421
106,1454,3739,9,366,1,48,7,155,0,17774,5723,3.1057137865,0.9068061557
482,74,152,0,44,0,7,0,1,0,840,271,3.0996309963,0.9050301029
401,2741,6938,0,874,1,134,7,275,0,33526,10828,3.0962319911,0.9040376616
209,634,2561,0,225,2,47,0,30,0,10669,3450,3.0924637681,0.902937416
0,599,1540,0,195,0,43,0,72,0,7406,2406,3.0781379884,0.8987545755
109,2040,4779,29,644,0,98,3,264,0,23814,7756,3.0703971119,0.8964943948
111,2251,6433,12,748,0,89,3,280,0,29811,9724,3.0657136981,0.8951269319
107,2654,5450,0,1000,0,65,10,380,0,28966,9484,3.0541965415,0.8917641531
214,1580,7990,0,670,7,270,0,187,0,31630,10427,3.033470797,0.8857126512
501,2540,11580,0,1334,0,81,2,258,0,47568,15712,3.0274949084,0.8839678116
101,393,1421,52,113,0,8,1,42,0,6113,2021,3.0247402276,0.8831635
211,953,4898,0,372,1,54,0,144,0,19250,6367,3.0234019161,0.8827727399
405,3125,14195,0,1511,1,239,10,426,0,58107,19257,3.0174482007,0.8810343744
409,2510,8993,0,1416,2,287,30,301,0,39851,13220,3.0144478064,0.8801583194
103,694,3421,1,352,28,53,0,99,0,13744,4567,3.0094153711,0.8786889492
215,1886,7944,0,1010,3,115,0,265,0,33396,11105,3.0072940117,0.8780695548
217,1372,4516,0,515,15,110,0,277,0,20066,6680,3.0038922156,0.8770762985
104,1138,3654,7,481,0,35,3,230,2,16483,5510,2.9914700544,0.8734492765
212,666,6904,0,399,0,144,0,126,0,24174,8095,2.986287832,0.8719361715
407,3841,20003,0,1977,1,424,23,783,0,79327,26604,2.9817696587,0.8706169555
408,2536,11688,0,1643,0,217,18,412,0,48494,16279,2.9789299097,0.8697878057
413,4105,26521,0,2336,4,626,33,831,0,100655,33793,2.9785754446,0.869684309
411,2435,17305,0,1870,0,291,11,399,0,65395,22009,2.9712844745,0.8675554919
410,1670,12297,0,951,3,236,1,412,0,45473,15330,2.9662752772,0.8660929068
402,779,4772,0,491,1,72,15,170,0,18414,6212,2.9642627173,0.8655052796
112,2268,7161,61,1221,4,174,8,458,0,33058,11169,2.9597994449,0.8642020935
201,862,2965,0,424,0,28,0,209,0,13191,4460,2.9576233184,0.8635667082
406,1300,6299,0,1079,7,178,1,219,0,26255,8897,2.9509947173,0.8616312896
204,138,2157,0,93,2,38,0,58,0,7209,2446,2.947260834,0.8605410706
105,661,2445,56,294,0,37,2,174,0,10623,3630,2.926446281,0.8544636384
404,741,4615,0,498,0,81,6,238,0,17805,6092,2.9226854892,0.8533655626
207,307,3073,0,450,9,40,0,77,0,11347,3907,2.9042743793,0.8479898877
403,1034,7637,0,950,1,129,7,348,0,28947,9969,2.9037014746,0.847822611
126,6,46,0,6,0,0,0,2,0,174,60,2.9,0.8467418546
208,138,2376,0,180,1,97,0,80,0,8040,2774,2.8983417448,0.8462576773
412,2532,17115,0,2370,6,450,77,861,0,66213,22878,2.8941778127,0.8450418927
414,715,6032,0,626,0,47,12,337,0,22208,7710,2.8804150454,0.8410234406
213,102,2411,0,275,0,21,0,79,0,8191,2867,2.8569933729,0.8341847818
218,203,13911,0,1597,3,92,0,369,0,45739,16080,2.8444651741,0.830526799
203,25,4347,0,232,0,77,0,186,0,13605,4790,2.8402922756,0.8293083962
481,0,44,0,2,0,1,0,2,0,136,48,2.8333333333,0.8272765246
205,154,5014,0,438,12,81,0,248,0,16534,5854,2.824393577,0.824666295
484,6,67,0,26,0,2,0,0,0,277,99,2.797979798,0.8169540012
216,20,2371,0,266,0,99,0,113,0,7725,2770,2.7888086643,0.814276214
