"","health","cb_num","N"
"1","Good",301,9785
"2","",301,525
"3","Poor",301,403
"4","Fair",301,1537
"5","",313,282
"6","Good",104,3643
"7","Good",202,3871
"8","Poor",202,194
"9","Fair",202,608
"10","",202,314
"11","Good",201,3450
"12","Fair",201,815
"13","Poor",201,229
"14","Good",204,4522
"15","Fair",204,1097
"16","Good",407,6499
"17","Fair",407,1698
"18","Poor",407,340
"19","",407,521
"20","Poor",108,677
"21","Good",108,6061
"22","Good",503,38583
"23","Fair",503,7676
"24","",503,1975
"25","Poor",503,2299
"26","Fair",108,1733
"27","Good",313,2251
"28","Fair",313,857
"29","Poor",313,191
"30","Good",209,8209
"31","",108,379
"32","Fair",209,1037
"33","Good",404,4660
"34","Fair",404,1005
"35","Poor",404,303
"36","Good",403,6439
"37","Fair",403,1339
"38","",403,381
"39","",404,281
"40","Fair",412,380
"41","Good",412,1864
"42","Good",501,20369
"43","Fair",501,2675
"44","Good",208,4575
"45","",208,275
"46","Fair",208,806
"47","Fair",104,579
"48","Poor",403,369
"49","Poor",104,197
"50","",104,285
"51","Poor",208,203
"52","Poor",412,85
"53","Fair",315,2356
"54","Good",315,8155
"55","Poor",315,614
"56","",315,701
"57","Fair",309,277
"58","Good",309,741
"59","",309,22
"60","Poor",309,25
"61","Good",210,9361
"62","Poor",210,284
"63","Fair",210,1025
"64","",210,390
"65","Good",409,2315
"66","Fair",409,685
"67","Poor",409,196
"68","Good",317,1313
"69","Fair",317,249
"70","",317,94
"71","Good",502,19065
"72","",502,736
"73","Fair",502,3565
"74","Poor",502,962
"75","",227,18
"76","Fair",314,978
"77","Good",314,5057
"78","Poor",314,359
"79","Good",481,140
"80","Fair",408,661
"81","Good",207,4025
"82","Fair",207,763
"83","Poor",207,207
"84","Good",302,6083
"85","Fair",302,1425
"86","",481,8
"87","Poor",302,287
"88","",302,277
"89","Fair",406,1352
"90","Good",406,6665
"91","",406,452
"92","Good",307,3005
"93","Poor",406,304
"94","",307,132
"95","Poor",307,144
"96","Fair",307,548
"97","Good",164,885
"98","Fair",164,39
"99","Good",312,4131
"100","Poor",312,266
"101","Fair",312,906
"102","",312,217
"103","Fair",107,1231
"104","Good",107,6775
"105","Poor",107,320
"106","Fair",481,50
"107","",501,941
"108","Fair",112,1525
"109","Good",112,4697
"110","Poor",112,523
"111","Poor",501,807
"112","Good",211,8042
"113","Poor",211,339
"114","Fair",211,1097
"115","",211,600
"116","Fair",227,15
"117","Good",227,169
"118","Poor",227,26
"119","Good",408,3251
"120","Poor",481,9
"121","",112,437
"122","Good",402,4671
"123","Poor",402,338
"124","Fair",402,1072
"125","",412,141
"126","Good",111,3290
"127","Poor",111,287
"128","",111,342
"129","Fair",111,888
"130","",204,575
"131","Poor",204,361
"132","Fair",205,836
