Health;Bronx;Brooklyn;Manhattan;Queens;Staten Island;Year
Critical;2;0;0;0;0;1995
Dead;1694;2833;1235;6018;1079;1995
Excellent;11313;16301;12763;30187;29722;1995
Fair;327;0;0;0;0;1995
Good;27831;83032;25014;157072;39613;1995
Planting Space;520;3205;1627;8294;1585;1995
Poor;3739;8495;3831;18683;3823;1995
Shaft;0;0;41;251;11;1995
Stump;275;1496;601;3422;293;1995
Unknown;2786;1739;2103;3625;508;1995
Unknown;4584;5060;2994;5553;3655;2015
Fair;10807;19160;11467;18389;13943;2015
Good;66157;86135;47361;73880;78045;2015
Poor;3068;5127;3609;5261;4086;2015
Dead;1166;1530;663;3485;1276;2005
Excellent;11078;33799;15889;59016;21875;2005
Good;41646;96060;28383;155614;71761;2005
Poor;6035;11463;4951;21893;4789;2005
Dead;2511;2341;1801;1968;1755;2015
Stump;2073;2719;1193;3585;1899;2015
